genre,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,valence,tempo
classical,3,1,3,0.988,0.557,0.0574,0.879,0.12,-24.121,0.0377,81.069
classical,2,1,4,0.992,0.357,0.0819,0.941,0.074,-28.701,0.09,119.982
classical,8,1,3,0.995,0.329,0.0287,0.908,0.0995,-30.008,0.068,123.364
classical,0,1,4,0.99,0.234,0.144,0.886,0.0879,-22.847,0.14,75.036
classical,2,0,5,0.986,0.154,0.0664,0.909,0.0431,-25.132,0.0794,77.82
classical,1,0,4,0.993,0.243,0.07,0.681,0.111,-22.551,0.186,75.925
classical,2,0,4,0.994,0.399,0.105,0.95,0.0809,-26.116,0.283,118.63
classical,7,1,4,0.987,0.172,0.0779,0.178,0.101,-23.607,0.2,178.467
classical,0,1,4,0.993,0.423,0.0271,0.89,0.0785,-29.826,0.295,96.451
classical,2,1,4,0.98,0.178,0.206,0.86,0.146,-18.407,0.0954,71.485
classical,6,1,4,0.957,0.15,0.108,0.967,0.127,-20.4,0.115,137.051
classical,2,1,4,0.98,0.178,0.206,0.86,0.146,-18.407,0.0954,71.485
classical,2,1,4,0.98,0.178,0.206,0.86,0.146,-18.407,0.0954,71.485
classical,4,0,4,0.995,0.457,0.0205,0.93,0.0934,-27.596,0.189,94.535
classical,2,1,4,0.98,0.178,0.206,0.86,0.146,-18.407,0.0954,71.485
classical,1,0,3,0.771,0.0921,0.22,0.953,0.102,-14.782,0.184,75.617
classical,2,1,4,0.98,0.178,0.206,0.86,0.146,-18.407,0.0954,71.485
classical,7,1,4,0.993,0.279,0.169,0.919,0.111,-16.205,0.43,85.683
classical,1,0,3,0.771,0.0921,0.22,0.953,0.102,-14.782,0.184,75.617
classical,1,0,3,0.771,0.0921,0.22,0.953,0.102,-14.782,0.184,75.617
classical,7,1,4,0.993,0.279,0.169,0.919,0.111,-16.205,0.43,85.683
classical,6,1,4,0.957,0.15,0.108,0.967,0.127,-20.4,0.115,137.051
classical,5,1,4,0.658,0.222,0.2,0.699,0.109,-18.027,0.0899,69.94
classical,7,1,4,0.992,0.297,0.206,0.904,0.312,-23.655,0.715,109.01
classical,9,0,4,0.992,0.439,0.117,0.909,0.086,-21.774,0.465,140.341
classical,2,0,4,0.926,0.609,0.289,0.0305,0.245,-15.815,0.767,100.487
classical,7,1,3,0.992,0.419,0.0164,0.918,0.0962,-27.903,0.273,128.512
classical,2,0,4,0.994,0.367,0.062,0.889,0.0748,-27.388,0.159,108.446
classical,0,0,3,0.968,0.187,0.43,0.0734,0.0912,-11.588,0.244,127.819
classical,0,1,4,0.994,0.165,0.0278,0.91,0.0723,-36.958,0.246,130.249
classical,7,1,4,0.961,0.612,0.372,0.702,0.107,-14.594,0.804,97.573
classical,7,1,4,0.993,0.279,0.169,0.919,0.111,-16.205,0.43,85.683
classical,7,1,4,0.993,0.279,0.169,0.919,0.111,-16.205,0.43,85.683
classical,0,1,4,0.985,0.183,0.293,0.949,0.102,-18.546,0.303,120.496
classical,7,1,4,0.993,0.279,0.169,0.919,0.111,-16.205,0.43,85.683
classical,2,0,3,0.752,0.0665,0.181,0.909,0.179,-17.704,0.112,67.999
classical,7,1,4,0.993,0.279,0.169,0.919,0.111,-16.205,0.43,85.683
classical,5,1,3,0.919,0.147,0.0419,0.931,0.124,-24.89,0.152,88.35
classical,11,0,3,0.654,0.192,0.171,0.845,0.11,-19.682,0.0646,80.13
classical,7,1,4,0.968,0.194,0.101,0.952,0.126,-20.068,0.341,138.886
classical,8,1,3,0.995,0.334,0.00375,0.868,0.103,-36.363,0.142,172.006
classical,2,0,4,0.952,0.445,0.289,0.901,0.0898,-17.983,0.405,133.102
classical,8,1,1,0.993,0.38,0.0414,0.923,0.113,-22.443,0.152,104.31
classical,2,0,4,0.987,0.22,0.144,0.908,0.101,-21.316,0.219,69.818
classical,9,0,4,0.993,0.352,0.0949,0.912,0.106,-25.077,0.0519,131.865
classical,8,1,3,0.995,0.334,0.00375,0.868,0.103,-36.363,0.142,172.006
classical,0,0,4,0.98,0.319,0.315,0.916,0.129,-13.957,0.165,93.658
classical,9,0,4,0.982,0.211,0.19,0.903,0.112,-19.517,0.273,74.008
classical,8,1,3,0.995,0.334,0.00375,0.868,0.103,-36.363,0.142,172.006
classical,9,0,4,0.982,0.211,0.19,0.903,0.112,-19.517,0.273,74.008
country,10,1,4,0.153,0.654,0.63,0,0.111,-4.644,0.43,89.991
country,6,1,4,0.677,0.706,0.358,0,0.107,-8.331,0.478,75.991
country,11,1,4,0.676,0.552,0.402,0,0.0928,-7.431,0.382,103.313
